"b_price","b_organic","b_spec","asc_nobuy","logLike"
-0.01,0.5,0.5,0,-9670.95186346436
-0.00943816426854975,0.556033950629455,0.625270184179029,-0.152034963728196,-8791.48852164201
-0.00858351528042455,0.472461100903498,0.896992574110742,-1.12925202780519,-6559.42628385623
-0.00379335650111789,0.0424681695314622,0.829866265407899,-1.96992429455485,-5873.60317571953
-0.00624465908742084,0.283940224865516,0.989749315030102,-1.92404414476415,-5841.85325785066
-0.00562834234149506,0.230285504986306,0.945666992464144,-1.97121352233168,-5833.92934072335
-0.00568212688844252,0.230936698372442,0.944820902085226,-1.99019370812945,-5833.84550443733
-0.00573214574700898,0.231553625777784,0.94291397507372,-2.00429534989405,-5833.82729319795
-0.0057338962191035,0.231497098653008,0.942699589784635,-2.00452377754896,-5833.82725200695
-0.00573403832083462,0.231498105673687,0.942673021253907,-2.00453092357501,-5833.82725150194
