"b_price_cn","b_price_jp","b_organic_cn","b_organic_jp","b_spec_cn","b_spec_jp","asc_nobuy_cn","asc_nobuy_jp","gamma_seg1","gamma_seg2","gamma_seg3","gamma_seg4","logLike"
-0.1,-0.01,0.5,0.5,0.5,0.5,0,0,0,0,0,0,-10291.6234236637
-0.0852725950122151,-0.00900662651418652,0.644889502677411,0.605578137092127,0.823133310487085,0.739869500674455,-0.529852144102028,-0.283037069991872,-0.285813299396859,-0.296898685917525,-0.284553097046103,-0.31716506299134,-7557.80014222018
-0.138761011043226,-0.00937807811096007,1.09168660986157,0.522558327262066,1.03498585984188,0.950444486471883,-2.12384125019525,-1.66840932571739,-0.33388485486829,-0.32723749836227,-0.357113167814546,-0.587509735254022,-5593.21673075458
-0.146602265315304,-0.0151191498728409,1.26606813346636,0.611044373290724,1.01344258104061,0.92913392974907,-2.09818864246942,-4.19793105305211,-0.477529876563686,-0.221948095479154,-0.445229570740076,-0.890561639563958,-5093.31636335387
-0.153586220870929,-0.0224239732119023,1.28128493851993,0.999440805203195,1.00330021454917,0.921523953931042,-2.37856186663806,-6.58128505778218,0.109324786814216,0.289513991440001,0.115268342932283,-0.507635430787658,-5025.71536088366
-0.153783395794369,-0.0218044428406808,1.28197464267313,0.854366330010605,1.0015063111946,0.805387202990893,-2.38390169500938,-6.69056687383299,0.232573821241363,0.356303457888747,0.207899708649891,-0.464689487228497,-5023.10887787602
-0.153631372470929,-0.021905098349158,1.2819676673227,0.879409612455328,1.00018280541096,0.822986669840958,-2.37624471149528,-6.69190797386256,0.232479094559807,0.341234054595932,0.205476918648025,-0.471471029604059,-5023.03867086171
-0.153589688273027,-0.0219013605272687,1.28126522046123,0.880192140582965,0.999826718449522,0.824421017056538,-2.37566070351184,-6.69050143766483,0.233576342902258,0.338874331657341,0.205810253456835,-0.471505758132575,-5023.03791207185
-0.153595288074605,-0.0219013686766129,1.28136387912199,0.880172316158038,0.999906604830478,0.824426990702231,-2.3755895280677,-6.69072114626792,0.233752493691095,0.338834300867856,0.205938383057627,-0.471376765117576,-5023.03790633075
-0.153594287002112,-0.0219013760911973,1.28134065501534,0.880163461656467,0.999894275237443,0.824419288927415,-2.37560336359431,-6.69074277553219,0.233760493303837,0.338842469692423,0.205942192829597,-0.471367414513894,-5023.03790627656
